
       Данные на  05-12-2002 16:22:21
       Начало         Продолжит   Абонент      СЛ     Номер
27-11-2002 10:44:18   00:10:54      31          4     621900            
27-11-2002 10:54:54   00:00:36      41          1     912388            
27-11-2002 10:55:42   00:00:36      31          2     119069            
27-11-2002 10:55:48   00:00:36      43          1     265200            
27-11-2002 10:57:24   00:00:24      38          1     171592            
27-11-2002 10:53:18   00:05:48      40          5     267566            
27-11-2002 10:59:18   00:00:54      31          1     119069            
27-11-2002 11:01:18   00:00:12      41          1     379122            
27-11-2002 11:01:54   00:00:12      41          1     89029288223       
27-11-2002 11:02:24   00:00:18      41          1     379122            
27-11-2002 11:17:24   00:00:18      27          1     233692            
27-11-2002 11:19:06   00:02:48      41          1     298888            
27-11-2002 11:22:24   00:00:12      41          1     379122            
27-11-2002 11:22:54   00:00:12      23          1     111774            
27-11-2002 11:23:24   00:00:18      41          1     379122            
27-11-2002 11:23:24   00:00:42      21          5     108933            
27-11-2002 11:24:36   00:00:12      41          1     379122            
27-11-2002 11:25:06   00:00:18      21          1     553565            
27-11-2002 11:23:12   00:02:18      36          4     595416            
27-11-2002 11:25:42   00:00:30      41          2     298888            
27-11-2002 11:27:30   00:00:12      38          2     185090            
27-11-2002 11:26:00   00:01:48      36          4     270111            
27-11-2002 11:26:30   00:01:18      41          1     298888            
27-11-2002 11:28:00   00:00:36      38          2     171592            
27-11-2002 11:32:18   00:01:36      23          1     625706            
27-11-2002 11:35:12   00:00:12      41          1     89029288223       
27-11-2002 11:35:42   00:01:36      41          1     298888            
27-11-2002 11:37:36   00:01:54      41          1     298888            
27-11-2002 11:39:54   00:00:30      41          1     379122            
27-11-2002 11:40:54   00:00:48      38          1     183333            
27-11-2002 11:42:00   00:00:48      38          1     8180              
27-11-2002 11:43:06   00:00:42      43          1     396542            
27-11-2002 11:46:00   00:00:24      41          1     89029217986       
27-11-2002 11:46:42   00:00:54      41          1     264401            
27-11-2002 11:47:06   00:01:00      43          3     119203            
27-11-2002 11:49:00   00:01:06      23          1     112602            
27-11-2002 11:50:24   00:00:18      41          1     224800            
27-11-2002 11:51:42   00:00:42      33          3     760889            
27-11-2002 11:52:12   00:00:30      20          1     593333            
27-11-2002 11:53:00   00:00:12      41          3     89029288223       
27-11-2002 11:52:30   00:00:48      32          4     420257            
27-11-2002 11:53:48   00:00:18      33          3     760889            
27-11-2002 11:54:24   00:00:36      33          3     760889            
27-11-2002 11:57:30   00:00:18      41          3     663510            
27-11-2002 11:57:24   00:00:24      33          1     760889            
27-11-2002 11:58:00   00:00:36      41          3     662100            
27-11-2002 11:58:24   00:00:12      32          1     224508            
27-11-2002 11:58:36   00:00:12      41          1     663510            
27-11-2002 11:59:06   00:00:18      41          1     662100            
27-11-2002 11:59:30   00:00:12      41          1     663510            
27-11-2002 12:00:12   00:00:48      41          1     663510            
27-11-2002 12:00:12   00:02:12      32          3     496571            
27-11-2002 12:08:36   00:00:24      41          4     534217            
27-11-2002 12:09:00   00:01:24      43          5     100055            
27-11-2002 12:09:42   00:01:18      20          4     187792            
27-11-2002 12:10:42   00:00:18      41          5     534217            
27-11-2002 12:04:42   00:07:42      22          1     909688            
27-11-2002 12:16:30   00:00:36      36          1     595416            
27-11-2002 12:16:42   00:00:36      44          3     130990            
27-11-2002 12:17:24   00:00:12      36          1     224294            
27-11-2002 12:19:12   00:00:18      35          4     824121588         
27-11-2002 12:19:54   00:00:18      35          4     224604            
27-11-2002 12:20:18   00:00:18      35          4     824121588         
27-11-2002 12:19:00   00:02:36      34          1     494549            
27-11-2002 11:43:06   00:39:06      38          2     8180              
27-11-2002 12:22:00   00:00:24      43          1     772496            
27-11-2002 12:24:00   00:00:48      38          3     553565            
27-11-2002 12:22:42   00:02:06      43          1     268805            
27-11-2002 12:22:24   00:02:30      34          4     238295            
