    208   701  10:25 14:16:46  00:00:13                                        
    208   701  10:25 14:17:42  00:00:07                                        
    213   702  10:25 14:18:02  00:00:17  3                                     
    208   703  10:25 14:18:04  00:00:20  1                                     
    208   703  10:25 14:18:41  00:00:12  3                                     
    213   702  10:25 14:18:35  00:00:20  3                                     
    213   702  10:25 14:19:15  00:00:17  1                                     
    208   703  10:25 14:20:41  00:00:12  1                                     
    208   701  10:25 14:21:07  00:00:35  80572142912                           
    201   701  10:25 14:23:27  00:00:09  80572                                 
    206   703  10:25 14:24:41  00:00:03  3                                     
    206   703  10:25 14:25:02  00:00:00  1                                     
    206   701  10:25 14:25:17  00:01:40  80572140878                           
    208   704  10:25 14:22:16  00:04:45  80572195757                           
    208   702  10:25 14:28:47  00:00:55  1                                     
    206   704  10:25 14:33:45  00:00:29  80572140878                           
    206   702  10:25 14:34:55  00:00:00  1                                     
    206   704  10:25 14:35:12  00:00:09  80572140878                           
    206   701  10:25 14:36:07  00:00:11  80572140878                           
    213   703  10:25 14:30:10  00:06:28  3                                     
    210   704  10:25 14:36:21  00:00:16  80503258467                           
    210   701  10:25 14:37:11  00:00:39  80503258467                           
    205   704  10:25 14:39:38  00:00:23  21085                                 
    206   702  10:25 14:36:54  00:03:54  1                                     
    205   704  10:25 14:40:33  00:00:23  21109                                 
    212   704  10:25 14:41:35  00:00:10  21319                                 
    212   704  10:25 14:42:57  00:00:06  26310                                 
    212   704  10:25 14:43:32  00:00:05  21319                                 
    213   704  10:25 14:44:20  00:00:13  21136                                 
    213   704  10:25 14:45:11  00:00:01  36                                    
    213   704  10:25 14:45:50  00:00:20  21136                                 
    213   701  10:25 14:49:43  00:00:12  21136                                 
    210   704  10:25 14:50:42  00:00:39  80572371833                           
    218   701  10:25 14:57:19  00:05:09  822279557                             
    212   701  10:25 15:03:08  00:00:14  21319                                 
    210   704  10:25 14:51:52  00:16:20  80572371833                           
    220   703  10:25 15:07:38  00:00:50  1                                     
    210   701  10:25 15:08:44  00:00:59  80572371833                           
    220   704  10:25 15:16:34  00:01:03  22255584                              
    220   701  10:25 15:18:46  00:00:26  822255584                             
    201   704  10:25 15:20:48  00:00:51  80572440035                           
    218   704  10:25 15:22:45  00:00:40  21528                                 
    207   702  10:25 15:28:50  00:02:02  1                                     







             SMDR REPORT FOR [                ] 10/25/02  15:31


===============================================================================
 
    EXT   TRK  MM:DD STT.TIME  DURATION  NUMBER DIALED       ACC.CODE     AUTH 
 
-------------------------------------------------------------------------------
 
    207   702  10:25 15:31:10  00:00:02  1                   12345                  
    207   703  10:25 15:31:31  00:00:02  1                                     
    207   703  10:25 15:32:15  00:02:08  1                                     
    213   704  10:25 15:47:20  00:00:09  21136                                 
    213   701  10:25 15:48:06  00:00:01  3764                                  
    213   704  10:25 15:49:50  00:00:40  23764                                 
    207   704  10:25 15:51:06  00:00:42  80572191207                           
    220   701  10:25 15:52:24  00:00:16  1                                     
    220   701  10:25 15:52:43  00:00:19  21136                                 
    207   704  10:25 15:52:43  00:01:47  80572191207                           
    206   701  10:25 15:55:35  00:00:22  80572477090                           
    206   701  10:25 15:56:28  00:00:25  8605724770906                         
    205   701  10:25 15:59:21  00:00:12  24908                                 
    207   704  10:25 15:54:59  00:05:53  80572191207                           
    206   702  10:25 16:00:23  00:02:17  1                                     
    205   704  10:25 16:03:45  00:00:03  24908                                 
    212   701  10:25 16:06:32  00:01:54  97207                                 
    210   701  10:25 16:12:29  00:00:31  21942462                              
    205   701  10:25 16:14:55  00:00:06  22434                                 
    206   704  10:25 16:11:08  00:04:25  80572477090                           
    201   704  10:25 16:17:59  00:01:28  80503258411                           
    205   704  10:25 16:23:22  00:00:06  27112                                 
    201   701  10:25 16:24:06  00:00:32  27112                                 
    212   704  10:25 16:24:08  00:00:41  21570                                 
    205   701  10:25 16:38:35  00:00:13  21089                                 
    207   704  10:25 16:31:06  00:12:13  80572191207                           
    207   703  10:25 16:44:08  00:01:38  1                                     
    205   704  10:25 16:52:19  00:03:33  268556                                
    220   702  10:25 16:56:18  00:00:58  1                                     
    211   704  10:25 17:12:05  00:00:03  23722                                 
    216   704  10:25 17:15:21  00:01:05  31476                                 
    205   701  10:25 17:18:06  00:00:20  23194                                 
    207   704  10:25 17:25:03  00:02:16  80692445209                           
    205   701  10:25 17:28:29  00:00:03  25926                                 
    212   701  10:25 17:33:24  00:00:06  21562                                 
    201   701  10:25 17:34:40  00:02:43  80614724496                           
    207   704  10:25 17:49:05  00:00:31  80503237626                           
    201   704  10:25 18:06:54  00:00:18  80474061460                           
    201   704  10:25 18:07:58  00:00:43  80474061460                           
    205   701  10:25 18:01:29  00:07:13  32985                                 
    208   703  10:25 18:15:19  00:01:58  1                                     
    205   701  10:25 18:09:43  00:09:49  80692445209                           
    220   701  10:25 18:25:50  00:00:57  822511500                             
    212   704  10:25 18:26:44  00:01:28  35137                                 
    212   701  10:25 18:41:49  00:00:45  21236                                 
    212   701  10:25 18:59:06  00:02:01  26024                                 
    205   704  10:25 19:02:51  00:00:29  80503258411                           
    205   701  10:25 19:03:54  00:00:38  80503258411                           
    205   704  10:25 19:06:32  00:00:23  80503238981                           
    205   701  10:25 19:09:37  00:00:30  80503258411                           
    205   701  10:25 19:12:03  00:00:55  23855                                 
    205   704  10:25 19:14:21  00:01:58  80503258411                           
    205   701  10:25 19:18:18  00:00:13  8050253925                            
    205   704  10:25 19:19:47  00:00:03  052253925                             
    205   701  10:25 19:21:42  00:00:07  8062253925                            
    212   701  10:25 19:22:27  00:00:04  21236                                 
    205   704  10:25 19:23:19  00:00:05  8062253925                            
    205   704  10:25 19:25:45  00:00:22  80652253925                           
    212   701  10:25 20:20:05  00:00:10  21032                                 
    205   704  10:25 20:56:44  00:01:48  24708                                 
    205   701  10:25 21:19:21  00:03:19  29412                                 
    205   704  10:25 21:24:09  00:00:01  83431591162                           
    205   704  10:25 21:44:37  00:01:20  25585                                 
    205   704  10:25 21:47:28  00:01:15  26993                                 
    212   704  10:26 00:03:07  00:00:03  21032                                 
